Word,Level
cattle,3
clothes,1
albeit,6
and,1
and,1
because,1
but,1
and,2
as,2
although,3
although,3
and,3
close,3
as,1
and,1
as,2
before,2
after,3
as,3
as,3
as,3
before,3
before,3
but,3
couch,2
eight,1
eighteen,1
eleven,1
fifteen,1
eighth,2
eighty,2
fifth,2
insofar as,6
five,1
four,1
fourteen,1
fifty,2
forty,2
fourth,2
hundred,2
if,2
if,3
if,3
if,3
if,4
however,6
million,2
like,3
or,1
or,2
or,3
or,4
only,6
nine,1
nineteen,1
one,1
ninety,2
ninth,2
now,4
once,4
or,6
seventy,2
provided (that),4
second,3
politically,5
second,1
seven,1
seventeen,1
seventh,2
plus,3
second,3
so,2
six,1
sixteen,1
ten,1
thirteen,1
three,1
to,1
twelve,1
twenty,1
two,1
sixth,2
sixty,2
so,2
that,2
third,2
thirty,2
thousand,2
to,2
to,2
since,3
since,3
though,3
till,3
unless,3
until,3
until,3
though,4
zero,2
while,3
whereas,4
while,4
zero,3
when,2
where,2
while,2
whenever,3
wherever,3
whether,3
yet,3
when,4
where,4
caution,6
advertisement,2
assert,5
address,6
cash,3
acquire,4
click,6
bike,3
clarification,5
acknowledge,5
aid,5
applaud,6
cease,4
carrot,6
character,6
ages,3
bunch,3
click,6
birth,5
approval,4
chemical,4
appearance,4
assurance,5
allowance,5
assistance,4
appearance,3
assurance,6
appearance,4
assistant,3
coherence,6
bestseller,4
beginner,2
CD player,1
browser,4
backpacker,3
bumper,4
cleaner,2
babysitter,3
barber,3
barber,3
builder,3
adviser,5
classic,4
characteristic,4
clothing,4
catering,4
apartment building,2
central heating,3
banking,2
boxing,3
camping,2
backpacking,3
animation,3
allegation,5
addition,4
admission,4
admission,3
action,3
collection,4
action,4
calculation,4
admiration,4
ambition,4
appreciation,4
affection,4
attraction,6
celebration,3
adoption,4
application,4
capitalism,6
archaeologist,5
clarity,6
capacity,4
capacity,4
capacity,5
activity,4
apologize,3
argument,3
agreement,4
argument,4
agreement,4
arrangement,4
achievement,3
adjustment,4
assessment,4
amazement,4
amusement,4
astonishment,4
attachment,4
appointment,6
blindness,5
carelessness,4
cheerfulness,6
coldness,6
anchor,6
collector,4
ancestor,4
championship,3
bravery,4
addiction,4
abortion,5
animal,1
bird,1
cat,1
baby,2
bear,2
chicken,2
ant,3
bat,3
bee,3
bug,3
bull,3
butterfly,3
cage,3
calf,3
camel,3
breed,4
cell,4
collar,4
beak,5
bark,4
breed,4
ad,1
band,1
book,1
camera,1
cartoon,2
cartoon,2
channel,2
clown,2
act,3
album,3
article,3
audience,3
biography,3
chapter,3
character,3
circus,3
audience,4
beat,4
cast,4
cello,4
choir,4
column,4
bow,6
art,2
cable,3
ballet,4
cinema,5
brass,6
background,4
accompany,6
act,3
advertise,3
broadcast,4
arm,1
body,1
accident,2
back,2
brain,2
cold,2
ache,3
ankle,3
body,3
breast,3
cheek,3
chin,3
beat,4
bite,4
breakdown,4
bruise,4
bug,4
chest,4
butt,5
antibiotic,6
blister,6
