words,frequency
get,63221
know,60011
right,52924
like,50573
got,48191
come,46976
one,44588
well,42080
let,37697
yeah,36123
good,34469
see,33765
think,32168
time,31623
back,30971
hey,30024
look,28776
going,28157
want,27224
yes,26755
would,26397
could,25013
take,24716
gon,23829
okay,23385
way,22726
little,21079
man,20974
really,19890
say,19575
never,19473
something,19191
make,18695
need,18297
tell,17662
help,16580
wait,15666
show,15496
sorry,15274
sure,14729
give,14595
mean,14477
must,14291
thing,14137
two,14125
find,13935
please,13810
guys,13755
stop,13495
great,13065
thank,12629
love,12504
even,11931
much,11736
better,11610
power,11330
said,11290
maybe,11158
away,11125
people,10987
first,10952
still,10853
big,10849
sir,10660
day,10519
new,10448
keep,10247
boy,10227
old,10085
ever,10048
anything,10011
home,9927
work,9830
thought,9799
life,9730
nothing,9718
dad,9666
put,9578
huh,9555
world,9300
long,9209
believe,9093
around,8980
last,8801
night,8635
always,8555
nice,8500
call,8469
shop,8427
place,8382
thanks,8338
things,8320
com,8145
everything,7992
fashion,7933
bad,7928
whoa,7889
talk,7858
looklive,7620
coming,7607
enough,7536
stay,7524
kind,7432
made,7395
hold,7283
ready,7280
name,7262
hello,7228
try,7199
guy,7188
may,7126
three,7081
course,7050
done,7033
leave,6997
hear,6989
feel,6942
wrong,6919
remember,6898
fine,6799
told,6792
another,6736
girl,6675
father,6671
every,6606
listen,6558
move,6510
mom,6494
best,6433
next,6381
left,6358
might,6358
real,6331
getting,6271
years,6214
mind,6211
wan,6172
guess,6139
happened,6083
use,5975
watch,5908
friend,5867
miss,5829
max,5829
run,5810
looks,5791
someone,5735
lot,5686
music,5683
together,5652
care,5607
found,5567
without,5483
understand,5476
baby,5457
turn,5419
idea,5399
head,5388
seen,5361
talking,5335
hope,5331
trying,5330
god,5301
kid,5297
looking,5295
gone,5252
friends,5143
grunts,5120
bring,5113
mother,5095
wanted,5071
pretty,5069
minute,5053
play,5051
today,5029
worry,5005
came,4976
house,4956
whole,4905
grunting,4819
son,4817
rangers,4815
knew,4809
fire,4807
door,4796
everyone,4793
yet,4711
lost,4707
face,4646
room,4621
matter,4616
master,4600
live,4579
ask,4573
else,4550
car,4550
job,4546
chief,4533
captain,4523
open,4474
dog,4451
heard,4449
money,4447
aah,4445
end,4408
kids,4396
start,4387
water,4377
fight,4376
school,4365
happy,4358
fun,4356
dead,4345
everybody,4343
earth,4343
many,4306
excuse,4286
family,4283
already,4275
true,4215
kill,4204
ooh,4203
actually,4196
laughing,4177
meet,4156
hurry,4136
tonight,4126
bye,4126
saw,4124
alone,4116
stuff,4096
soon,4087
dear,4086
eat,4081
hand,4078
problem,4069
turtles,4058
wish,4052
hard,4051
city,4049
used,4025
check,3990
control,3978
mine,3968
easy,3967
forget,3938
wow,3937
men,3922
cool,3914
chance,3886
morning,3855
five,3817
save,3813
far,3805
king,3790
jack,3753
took,3753
plan,3742
anyone,3722
since,3688
went,3660
game,3645
trouble,3639
late,3635
second,3628
hit,3609
afraid,3604
part,3603
team,3579
woman,3578
ship,3567
exactly,3561
heart,3531
four,3531
party,3519
stand,3516
cause,3514
says,3502
tomorrow,3501
boys,3489
gasps,3454
hurt,3451
year,3447
shall,3441
called,3435
set,3399
beautiful,3388
supposed,3381
close,3374
brother,3363
eyes,3345
means,3336
crazy,3326
inside,3319
wants,3294
break,3280
welcome,3253
working,3250
honey,3233
bit,3224
children,3195
taking,3189
playing,3171
somebody,3170
red,3168
change,3153
side,3146
hands,3145
almost,3138
thinking,3121
comes,3119
hate,3111
ago,3108
whatever,3106
dude,3104
happen,3091
shut,3089
makes,3067
half,3058
young,3051
probably,3047
evil,3047
later,3037
cut,3037
days,3030
screaming,3030
free,3024
rest,3006
behind,3003
making,2977
saying,2974
die,2971
high,2948
word,2944
quite,2942
sit,2940
human,2927
knows,2919
deal,2898
story,2892
minutes,2889
magic,2889
important,2878
number,2862
perfect,2855
funny,2851
town,2842
goes,2835
stupid,2833
secret,2831
read,2827
mrs,2812
least,2803
hot,2790
light,2771
girls,2766
trust,2763
along,2757
hang,2756
lady,2747
nobody,2747
point,2730
laughs,2726
safe,2716
moment,2712
gets,2707
ben,2704
win,2698
batman,2693
book,2686
lord,2682
fast,2677
food,2676
air,2676
alive,2674
destroy,2673
pay,2672
sighs,2667
full,2659
phone,2654
business,2636
christmas,2634
follow,2630
green,2629
ahead,2569
fly,2552
anyway,2552
groans,2551
catch,2542
waiting,2537
april,2529
times,2523
able,2520
daddy,2519
sleep,2512
news,2487
smart,2482
mutant,2472
special,2463
line,2462
seems,2457
needs,2456
gave,2448
luck,2446
also,2439
professor,2437
become,2435
dragon,2424
ninja,2422
hell,2417
sounds,2412
rock,2411
perhaps,2407
lose,2406
monster,2402
ball,2397
dance,2384
death,2371
brought,2368
doctor,2365
send,2363
