word,frequency
i,7417
dont,575
know,418
how,316
to,4228
change,56
the,5025
setting,18
this,1204
is,2833
my,1280
first,184
day,217
using,56
lang,1745
and,2238
made,94
a,5656
blunder,2
because,362
choose,13
german,1156
as,944
langauge,3
that,1269
m,3999
laerning,1
but,1151
fact,19
learning,110
english,636
now,253
it,1867
back,76
so,10771
be,1319
cae,1
singapore,5
years,90
ago,37
here,402
learn,177
new,334
language,139
wanted,106
start,96
life,105
in,45271
different,106
world,118
of,1963
course,58
singaproe,2
was,7454
just,321
temporary,2
place,68
for,1115
me,833
go,272
england,197
reason,36
there,429
may,74
ridiculous,3
insist,1
telling,9
you,2898
want,508
have,804
british,6
accentits,2
cool,160
furthermore,3
sounds,245
professional,7
isnt,61
worst,14
thing,77
do,567
not,938
came,63
also,3104
totally,22
methe,1
really,326
think,330
tolerable,1
blütezeit,10
meine,12159
schule,1679
steht,656
auf,14709
dem,10274
berg,253
im,12971
frühling,337
blühen,37
die,61406
blumen,232
sehr,14895
schön,1437
vor,4353
allem,419
kirschblüten,56
und,58607
azaleen,3
hier,4123
gibt,6632
es,35505
ein,27440
fest,459
der,43958
viele,7662
besucher,66
gehen,3463
zum,5390
verkehr,116
ist,47013
immer,5401
schlimm,202
weil,7913
zu,30897
viel,6398
sind,11095
bus,375
auch,12132
voll,239
aber,21956
einer,3863
vorteil,89
wir,13752
können,3225
froher,3
spaziergang,105
machen,3851
wenn,9995
freizit,1
haben,10384
fblue,218839
bei,4430
gebäuden,22
sagt,1434
man,12181
regel,171
befindet,157
sline,104590
oder,10606
uns,3478
würde,2718
wahrscheinlich,647
blütenfest,1
als,10603
allgemeine,56
bezeichnung,41
für,14075
solche,538
feste,78
zur,2342
nennen,171
ich,121360
eher,654
das,32545
hat,14027
kommen,1189
diesem,1726
sagen,2687
fbold,30492
fred,185178
e,9537
verstärkt,27
aussage,82
eine,19644
n,13958
en,5696
frohe,28
freiz,1
jlpt,1
heute,8085
hatte,4245
überraschung,94
nächst,57
jahr,3109
machte,400
prüfung,1168
des,6344
japanese,252
proficiency,6
test,299
dachte,678
dass,18701
vorbereitung,95
nicht,29060
genug,692
war,14787
mein,9942
japanisch,1285
gut,5906
fast,1507
allein,516
stutiert,1
lernte,172
nur,7030
weniger,547
stunden,855
normalerweise,643
fernsehe,34
grammatikbuch,10
lese,691
um,8862
üben,393
mittag,292
erhielt,49
einen,7686
eingeschriebenen,2
brief,596
bestand,42
level,25
große,1052
mich,12379
letzten,1008
stu,18
d,3627
iert,23
fern,195
sehe,622
ittag,12
oft,1812
einschreiben,19
email,436
geehrt,7
frau,2067
xxx,47
bin,12118
ooo,15
am,7778
nächsten,636
sonntag,441
muss,5353
magisterarbeit,17
berichten,65
schreibe,1030
jetzt,5709
deutsche,2951
schriftlicher,12
bericht,122
den,15350
etwa,838
seite,571
sie,26073
mir,11144
helfen,1232
meinen,2371
text,916
korrigieren,461
dann,4870
schicke,43
montag,466
will,4115
dienstag,217
mittwoch,232
ins,1887
nehme,320
zurück,855
mit,18633
freundlichen,151
grüßen,149
geehrte,103
name,1438
vorstellen,312
zeit,4915
schriftliche,57
r,4987
deutsch,10800
de,1829
umfasst,26
k,1308
önnen,19
freundlich,245
wären,149
noch,6811
schicken,240
s,7280
verstehe,901
ganz,2380
willst,354
du,7624
bis,3386
spätestens,24
wiederhaben,1
blockflöte,8
guzheng,6
schwester,659
kann,11931
spielen,1149
lernt,286
seit,2469
zehn,408
jahren,1527
mitglied,79
blockflötenorchesteres,1
orchester,57
konzert,362
schon,4271
vielmals,55
gegeben,435
cds,58
gemacht,2164
klassisches,10
chinesische,334
instrument,27
gesellschaft,410
chinesischem,5
musik,1509
uni,1126
eingetretten,2
ihre,3272
lehrerin,493
mitschülerin,16
jahre,2730
gespielt,629
spielt,469
wenig,927
einem,4500
gesagt,1706
lerne,1801
fleißig,252
morgen,2605
solo,8
schade,341
daß,471
konzerte,35
ag,146
an,9830
eingetre,1
t,3424
vielen,1247
tagereise,2
danshui,55
letzte,986
samstag,456
nach,10863
gegangen,2132
nächtliche,7
landschaften,44
fotografieren,82
liegt,800
nordwestlich,2
von,15885
taipeh,43
mündung,6
danshuiflusses,11
gehabt,504
zuerst,823
bali,18
gegengen,3
linken,54
ufer,64
rechten,66
zwischen,1334
bequem,124
archäologische,3
museum,256
shihsanhang,3
shihsanhanger,3
eisenzeit,4
geliebt,64
besucht,605
hafen,67
großer,209
park,346
sonnig,144
windig,71
spaziert,25
habe,26559
gesehen,1535
einige,2051
leute,3272
pferde,58
gerettet,42
schiff,149
genommen,286
fischerhafen,9
berühmt,187
sonnenuntergang,46
meeresfrucht,1
gewartet,100
dort,2524
schöne,842
landschaft,151
essen,2645
bißchen,83
teuer,325
ubahn,128
danshuistation,6
nehmen,655
kalt,717
winding,1
abend,1418
bequemer,25
neben,395
flusse,4
alter,290
straße,463
interessante,238
geschäfte,134
nacht,1068
lebendig,45
tage,1049
reise,1096
besser,4781
tagesauflug,1
geg,35
ngen,27
hatten,951
schwach,86
ruhig,266
gelebt,101
been,160
love,137
shihsanh,1
ä,994
nger,30
ha,551
ben,216
gel,30
ebt,7
meintest,86
bes,22
ichtig,2
beim,1187
entlang,105
spazier,6
spazieren,390
waren,2094
geritten,11
meeresfr,2
ü,1173
cht,64
üchte,2
meeres,23
frucht,40
früchte,44
ubahnhof,8
station,69
richtung,101
vo,218
windi,2
g,916
bahnhof,239
danshuifluss,2
fluss,229
alte,478
hi,121
erika,15
wohne,930
taiwan,596
studiere,741
leider,1408
selten,318
gelegenheit,248
sprechen,2358
schäme,17
sich,8382
fremden,105
kein,2372
unterricht,824
arbeit,2325
chinesisch,479
deshalb,2838
artikel,537
lesen,1464
schreiben,3043
finde,1733
mehr,5504
aktiv,88
heiße,450
ch,1401
eutsch,290
u,1089
nterricht,17
gerade,829
dafür,882
er,14973
werden,4904
muttertag,28
oma,192
wohnt,344
nähe,475
meiner,3415
vermietet,2
studenten,1036
zimmer,806
wohnung,745
leben,3025
studentinnen,39
über,5504
lebt,224
junger,88
wenige,299
touristen,186
sondern,1457
obwohl,1697
wochenende,727
fließend,116
abgewickelt,2
vielleicht,2909
macht,1559
outdoorsport,3
mittagessen,331
abendessen,474
gegessen,998
tante,168
gefeiert,82
dreijährige,4
nichte,95
süß,149
bisschen,1849
ungezogen,5
eiskuchen,7
gekauft,901
freiern,4
glücklich,739
kuchen,282
anmerkung,63
zusammenhang,148
unbedingt,268
notwendig,128
nennt,182
frauen,689
üblicherweise,20
j,501
ihr,3909
läuft,119
weitere,184
alternative,146
lief,111
flüßig,1
geht,1486
spät,454
abends,175
nachts,97
hört,311
f,1201
eiern,7
o,817
nn,188
bücher,828
bibliothek,294
zwei,3166
ausgeliehen,20
übersetzungen,37
erst,758
buch,1400
wolf,101
sein,4772
bettina,6
wegenast,1
geschichte,1330
enthält,34
elemente,26
märchen,99
rolle,351
inhalt,157
buches,33
interessant,930
übersetzerin,34
dieses,2177
wei,168
tang,11
meinem,2243
tagebuch,627
vorgestellt,87
übersetzung,263
zweite,514
ja,1670
keiner,143
axel,8
hacke,7
sammlung,19
geschichten,94
aus,6689
alltag,91
seine,2341
gefallen,560
scharfsinniger,2
humoriger,3
schriftsteller,133
beide,610
wunderbar,230
auflage,5
wegenastor,1
erste,1626
titel,307
sound,85
more,461
fluently,8
what,759
mean,393
with,754
perhaps,20
writing,84
style,167
schreibstil,10
humor,42
did,169
exist,14
langage,2
say,797
he,454
auto,816
jedoch,725
manchmal,1485
höre,537
deutscher,339
lieder,211
häufigsten,21
silbermond,16
fans,57
mag,2226
annett,1
louisan,1
stimme,247
helden,40
hörte,193
einmal,1285
lied,473
tokio,320
hotel,419
laut,404
fußballlieder,4
freudig,17
leidenschaftlich,14
gehört,910
hart,175
fröhlich,99
freue,833
geschenk,245
lieben,278
assamschwarztee,1
lieblingsgetränk,7
hilfen,46
wichtig,871
fleißend,3
komplett,68
gelernt,1399
magiserarbeit,1
nächste,596
semester,421
da,3424
brauche,637
hilfe,717
herzlichen,61
dank,885
freundliche,58
ihnen,1761
gefällt,685
fl,25
ie,957
ßend,3
magis,1
erarbeit,1
benötige,17
polite,27
gerne,1111
anspruch,44
caf,117
nachmittag,356
gewinnen,178
bekomme,221
rosa,37
tasse,122
etwas,3957
kauft,73
bekommt,267
point,47
pointe,2
wechselt,15
wie,9048
kleines,255
mädchen,726
begegnet,81
langweilig,455
mutter,1622
freundinen,47
unterhaltet,20
niedlich,70
puppen,51
ihrem,517
rucksack,17
eingeladen,129
zusammen,1472
computer,762
gearbeitet,292
gefunden,798
rutsch,21
gewollte,2
vom,1427
gerutschte,1
hin,339
bekommen,1593
em,591
kleine,877
unterhalte,29
te,653
befestigt,4
benutzt,628
befinden,73
müsste,128
benutzen,746
sicher,936
meinst,866
tatsächlich,186
sitzen,170
würden,471
kinder,1799
einfach,1361
ohne,1560
während,1267
wollte,1371
rutsche,4
rutschen,2
lassen,691
fußballfans,7
gestern,1886
freundin,1641
unterhalten,308
neue,1767
stelle,538
