bigram,frequency,probability
en,2106469,0.03243632324207246
er,2046754,0.03151680577355032
ch,1458774,0.022462834725377405
te,1176105,0.01811017486923265
st,920721,0.014177661276650261
ge,839365,0.012924906304380531
ng,826919,0.012733257398523937
an,779293,0.011999891595026737
ei,762171,0.011736239613179027
in,757938,0.01167105804331795
un,755630,0.011635518458333455
re,736495,0.011340869429443377
sc,714663,0.011004690824858677
el,644108,0.009918254335005552
ra,620044,0.00954770642639772
le,606724,0.009342599289485472
es,605298,0.009320641123026248
he,603628,0.009294925738743706
ie,597852,0.009205984385680257
de,565168,0.008702701978560145
be,551494,0.008492143796117346
ar,537501,0.008276673513323571
se,530328,0.00816622054837826
al,530302,0.008165820189102006
nd,523514,0.00806129562113201
is,513909,0.00791339366542314
ri,509167,0.007840374292807685
on,507749,0.007818539313818077
ns,501821,0.007727257398831905
ti,499517,0.00769177940758222
or,480056,0.007392110489305249
ne,472699,0.007278824212558747
it,471894,0.0072664284734285396
la,451928,0.006958983346131998
at,448717,0.006909538975514488
au,427588,0.006584185469822381
li,420067,0.006468373849948731
ha,405168,0.006238952586220835
ta,400355,0.006164839924812528
nt,394099,0.0060685073235720605
me,388459,0.0059816601574921
tr,376165,0.005792351813558229
ss,372826,0.005740936443426848
ro,360071,0.005544529421556298
rs,345399,0.005318603602278783
us,340942,0.005249972783268431
rt,337924,0.005203500310355431
ll,337780,0.005201282935902326
ma,336482,0.0051812957689569734
gs,324916,0.005003197484758246
ic,324575,0.004997946618865822
na,319718,0.004923156426374622
ni,313686,0.00483027307428343
as,311959,0.004803679979279867
ts,309724,0.004769264479955628
et,308173,0.004745381509283639
ke,297464,0.004580479682767628
ve,290967,0.00448043605900495
ru,288137,0.0044368584916279485
il,287622,0.004428928298271357
si,276111,0.004251676927926246
fe,269404,0.004148399633086121
ba,268806,0.004139191369732254
ze,259214,0.003991489593661512
we,258983,0.003987932555476322
ka,256305,0.003946695550022043
ol,255619,0.003936132224502388
sa,253676,0.0039062130678191678
ur,253467,0.0039029947951754245
io,253301,0.0039004386551808722
ko,245125,0.0037745410612323336
ig,235819,0.0036312432372003984
tu,233895,0.0036016166507575184
to,233429,0.00359444098065233
sp,232578,0.0035813369135718255
am,226557,0.0034886229442513566
di,219757,0.0033839135950769358
ac,217402,0.003347650283708442
tt,217176,0.0033441702376917626
pe,214750,0.003306813637530418
mi,211043,0.0032497316437966562
hi,204865,0.0031546001203849546
ck,199441,0.003071079015984652
pr,198225,0.0030523545206028735
em,196983,0.0030332296659448393
rn,196245,0.0030218656218726743
ho,195689,0.003013304092734295
