bigram,frequency,probability
in,134812613554,0.02020928565982535
th,133210262170,0.019969082788647414
er,119214789533,0.017871070614496443
re,108669181717,0.016290215565464516
he,106498528786,0.01596482060430723
an,105422467512,0.01580351203606238
on,100461773921,0.015059871873554686
es,97326307798,0.014589845153606625
or,85998433585,0.012891723295021132
te,80948650956,0.012134728107559634
at,80609883139,0.012083944613303244
ti,79834588969,0.011967722985824363
st,78728300226,0.011801883123810407
en,77314896004,0.011590004658419186
nt,71720202984,0.010751323867063397
ar,68756067210,0.010306980678306219
to,68548751664,0.010275902732553329
nd,68018862077,0.010196468844658555
al,64032793037,0.00959893122732812
it,60786494374,0.009112289990368512
se,58165976437,0.008719457345340707
ed,57514469508,0.008621792228624884
is,56531345460,0.008474415553688473
ea,55939058323,0.008385627868109789
ng,54671896948,0.008195672154550283
ou,52913816186,0.007932124438979367
le,52533619401,0.007875130473559843
co,52490369344,0.00786864700933736
me,50958591639,0.007639023590640734
ne,48426255131,0.007259409914087557
ri,48154583840,0.007218684624512236
ro,46608666502,0.006986941583067493
de,46344292825,0.006947310253189808
ra,46135420707,0.006915998967192493
io,45866820943,0.006875734119447639
ic,45663138305,0.006845200770180288
li,45239121467,0.006781637894438801
of,44948393239,0.00673805584633413
as,43550945165,0.006528569311078092
et,42812689527,0.0064178999999135065
ve,42386634729,0.006354031620742352
ta,42344542093,0.006347721661439039
si,41483080358,0.0062185829567684234
ha,41206270659,0.006177087386487379
ma,40261070734,0.006035395783703348
ec,39836916955,0.005971812379617261
om,38270823174,0.0057370447584285545
ce,37978263270,0.005693188130204528
el,37931534499,0.005686183184177773
ll,36610231690,0.0054881113183021454
ca,35964886206,0.005391369842177508
ur,35957660877,0.005390286718470477
la,35279652135,0.005288648807998187
ch,34170408619,0.005122366006336058
hi,34041908708,0.005103103035756373
di,33302437545,0.004992251509505943
ho,33037260281,0.004952499716721952
fo,32748744509,0.004909249330129769
ns,32458807204,0.00486578584651562
ot,32419391981,0.004859877248796508
ac,31993660134,0.004796057282076095
na,31835157885,0.004772296766325226
rs,31498209240,0.0047217859777574445
so,31467005438,0.004717108325335566
pr,31268978905,0.004687422862913915
rt,31174956946,0.00467332836108923
sa,31138171773,0.004667814024933249
ss,31081241798,0.004659279852224544
us,30677125454,0.004598700189681107
no,30618138499,0.0045898576623212995
il,30603240902,0.0045876244158506545
ts,29972404314,0.004493057917394225
em,29776626954,0.004463709620601643
ct,28898718663,0.004332105470454065
ge,28502237355,0.004272670349355817
lo,28357992178,0.004251047061221303
ee,27451934708,0.004115223166463012
be,27212687351,0.004079358435014612
tr,26996514264,0.004046952686383387
ni,25359266664,0.0038015186459624587
pe,25126480018,0.0037666224170207784
ie,24933647247,0.003737715533228679
pa,24898597250,0.0037324613112158012
nc,24737829432,0.0037083611719690578
po,23703275501,0.0035532748238084715
ol,23553044761,0.003530754260935986
da,23279747379,0.003489785209766986
ad,23202347740,0.0034781825015835132
vi,23140348141,0.0034688883593370703
un,22987447404,0.003445967546586911
am,22902383711,0.00343321594697173
ut,22499209523,0.0033727775197269646
wi,21486195066,0.00322092007850285
mo,21343638917,0.0031995499866267537
sh,21322806441,0.0031964270632786587
yo,20264440566,0.0030377711501810424
ai,20090957077,0.0030117648493310123
ew,20003014022,0.00299858161466595
ow,19972624694,0.0029940260571823312
os,19821367131,0.002971351566878413
fi,19753676090,0.002961204240540644
ep,19436550393,0.0029136650405222637
tt,19222971337,0.0028816481539723202
mi,19090900236,0.0028618498388358247
op,19077697278,0.002859870629748911
ia,19042814662,0.002854641499234179
we,18727322433,0.002807347166669651
ag,18418672749,0.0027610785760064168
su,18318104818,0.0027460027904977966
id,17905542743,0.0026841570580675325
do,17706639517,0.0026543401736757416
oo,17541371381,0.0026295654075552625
ir,17041448765,0.002554623763088854
sp,17010851034,0.0025500369646430706
pl,17001616925,0.0025486527117777394
sc,16886526539,0.002531399916018818
ay,16749015766,0.0025107861587478986
