trigram,frequency,probability
the,82103550112,0.013636489593493785
ing,43727954927,0.007262728609096381
and,43452082914,0.0072169093256515245
ion,39907843075,0.006628250374662928
tio,32705432538,0.005432009819877032
ent,31928292897,0.005302935539742596
for,26276145239,0.004364176465207254
ati,25312331919,0.004204097756182834
ter,21635845251,0.0035934740727926423
ate,19978168727,0.003318152376738465
ers,18428556963,0.003060779039472102
res,16905804845,0.00280786679167951
her,16817683835,0.002793230868699396
est,16153205958,0.0026828684587614973
com,16125312457,0.002678235657432033
pro,15952570392,0.002649545115201913
ere,15305553822,0.0025420828348061532
all,15280030691,0.0025378437256592273
int,15254348969,0.0025335782763051097
men,15240388304,0.0025312595645961633
you,15014247063,0.002493700011137761
ons,14765503549,0.0024523864706698646
our,14731181262,0.0024466859192459377
con,14345102137,0.002382562456093055
are,14170861835,0.0023536230733045035
tha,13970309343,0.0023203135274154816
ver,13912756928,0.002310754709226045
ess,13754386504,0.0022844511372629907
thi,13367612267,0.0022202122237119054
rea,13285735421,0.0022066133871585037
sta,12930801230,0.002147662752315745
tin,12540895012,0.002082903651437129
hat,12149329559,0.00201786897001687
ist,12124300892,0.002013711985859438
ect,12119170351,0.0020128598598690268
ort,12058955817,0.002002858893222055
ear,12053692257,0.002001984674250198
ine,11957930765,0.0019860797519011143
age,11949496341,0.001984678887566427
his,11668102248,0.0019379424478432892
ted,11406578213,0.0018945062045034927
ont,11390852799,0.0018918943875470778
nce,11196008401,0.0018595328927998582
sto,11072718004,0.0018390557244755317
ith,11044086726,0.0018343003865642863
nte,10870885323,0.0018055335533839166
sin,10799660436,0.0017937038891483463
tor,10786422584,0.0017915052286666504
ore,10667700294,0.0017717867722796576
lin,10581656074,0.001757495781098281
ive,10484022493,0.0017412799255175436
ite,10265976124,0.0017050648405704065
wit,10193568110,0.0016930386720545552
not,10064096791,0.0016715349210987074
nth,10030465425,0.001665949123994339
tra,9796133143,0.0016270291294197608
ome,9794497140,0.001626757407455802
ica,9785687575,0.0016252942363592802
per,9744491337,0.0016184519978688402
art,9656060803,0.0016037646663832575
ste,9569241613,0.0015893449612750673
cti,9429172779,0.0015660810805463014
