los,33144
dibujos,123
del,15239
expresión,273
estoy,9073
muy,18217
contendo,6
para,25289
vine,95
a,76160
familia,2252
leng,12
en,76800
la,85678
espero,2318
que,86008
pueda,820
conocer,497
más,12858
de,122835
amigos,3540
me,37349
gusta,6456
el,69664
movimiento,88
sobre,5865
todo,4924
nadar,167
y,73400
explora,4
puertas,59
afuera,300
estan,567
chino,892
son,7312
modas,10
muchasme,1
busque,34
interpretaban,3
tienen,1928
erroresespere,1
todos,5767
perdonarlo,3
explicado,18
general,601
con,22340
espaol,21
orgulloso,42
salud,513
brindis,6
satisfecho,57
tiene,5318
sueo,2
astuto,13
cara,499
se,24921
golpea,8
sin,4330
palabra,1313
decir,3707
remedios,6
hacerse,70
tonto,105
t,1091
asombrado,6
asustado,26
no,46102
hay,8333
método,98
gato,451
sospechar,4
otimista,1
alma,146
ataca,18
grave,166
poner,592
duda,245
o,14674
z,253
m,2112
adora,5
pensando,444
esta,7992
enfadando,1
fred,176264
sline,97828
fblue,207447
expresiones,132
contento,319
venir,334
deporte,367
r,1512
muchas,4630
están,1731
moda,219
china,1224
busqué,126
su,11735
interpretación,52
errores,518
espere,29
perdonen,3
explicación,77
mucho,12042
sueño,776
golpear,21
s,10430
mudo,17
remedio,92
qué,5518
significa,917
manera,1064
p,1424
timista,1
estar,1424
afectado,17
entiendo,1088
bien,6076
i,8931
dont,887
understand,307
what,877
you,3775
mean,340
enfada,16
n,4611
do,1139
enfadado,73
compré,650
una,28347
armónica,3
llama,2032
blues,7
harp,2
ojos,585
diez,708
sólo,2143
mm,23
dificil,533
sople,1
muchísimo,233
voz,424
es,46777
suave,87
mientras,1279
tambien,1244
tristeza,103
ha,4498
aprendido,335
ejecutarla,1
traer,126
feilces,1
llevar,437
triste,815
otros,1727
personas,3380
c,1721
ompré,4
marca,100
agujeros,17
miden,4
cada,2969
uno,2345
dif,166
í,2719
cil,211
soplar,9
e,5902
sonido,270
vez,5367
spero,15
aprender,2904
tocar,384
felicidad,204
eliminar,29
las,22423
otras,1313
planes,140
