word,frequency
a,965735
aarón,1040
ábaco,9
abad,48
abadesa,12
abadía,95
abajo,8727
abalancé,4
abalances,2
abalanza,8
abalanzaba,2
abalanzamos,2
abalanzan,2
abalanzándose,2
abalanzarán,2
abalanzarnos,2
abalanzaron,5
abalanzarse,4
abalanzarte,2
abalanzas,4
abalanzaste,2
abalanzo,3
abalanzó,22
abanderada,3
abandona,263
abandonaba,15
abandonaban,4
abandonabas,2
abandonad,3
abandonada,208
abandonadas,37
abandonado,744
abandonados,112
abandónalo,2
abandóname,5
abandonamos,72
abandonan,84
abandonando,84
abandonándolo,6
abandonándonos,2
abandonándote,2
abandonar,971
abandonara,60
abandonará,57
abandonáramos,4
abandonaran,10
abandonarán,9
abandonaras,23
abandonarás,42
abandonaré,98
abandonaremos,34
abandonaría,50
abandonaríamos,4
abandonarían,8
abandonarías,26
abandonarla,52
abandonarlas,5
abandonarle,6
abandonarlo,93
abandonarlos,36
abandonarme,87
abandonarnos,22
abandonaron,188
abandonaros,2
abandonarse,2
abandonarte,52
abandonas,95
abandonaste,204
abandónate,2
abandone,161
abandoné,214
abandonemos,29
abandonen,125
abandones,120
abandono,216
abandonó,709
abandonos,2
abanica,7
abanícalo,2
abanícame,4
abanican,2
abanicando,2
abanicar,7
abanicaste,2
abanico,43
abanicos,6
abaniques,6
abaratas,2
abarató,3
abarca,52
abarcaba,2
abarcado,3
abarcando,3
abarcar,17
abarcarán,2
abarcarlo,2
abarque,7
abarrota,2
abarrotada,8
abarrotadas,3
abarrotado,25
abarrotar,3
abarrotes,14
abastece,14
abastecedor,9
abastecedores,3
abastecen,6
abastecer,26
abastecería,2
abastecernos,6
abastecía,5
abastecido,6
abasteciendo,5
abastecimiento,41
abastecimientos,2
abasteció,5
abaten,4
abatí,2
abatida,32
abatidas,2
abatido,79
abatidos,17
abatimiento,8
abatió,4
abatir,6
abatirán,2
abatiremos,2
abatirnos,2
abdica,2
abdicación,6
abdicado,6
abdicar,3
abdico,2
abdomen,159
abdómenes,4
abdominal,104
abdominales,173
abdominoplastia,2
abducción,56
abducciones,36
abducida,31
abducidas,25
abducido,36
abducidos,40
abdujeron,5
abdujo,7
abecedario,15
abedul,14
abedules,6
abeja,311
abejas,373
abejita,21
abejitas,2
abejorro,25
abejorros,5
abelardo,22
aberración,38
aberraciones,12
aberrante,21
aberrantes,6
abertura,71
aberturas,18
abeto,24
abetos,6
abierta,1844
abiertamente,153
abiertas,337
abierto,1881
abiertos,638
abismal,13
abismo,169
abismos,5
ablación,8
ablanda,18
ablandaban,2
ablandado,21
ablandador,4
ablandadores,2
ablandan,3
ablandando,37
ablandar,18
ablandaría,4
ablandarla,7
ablandarlo,5
ablandarlos,3
ablandarme,3
ablandarse,3
ablandarte,2
ablandas,2
ablandase,2
ablandaste,8
ablande,11
ablandé,2
ablanden,2
ablandes,11
ablandó,12
abnegación,9
abnegada,5
abnegado,8
abocado,2
abocarnos,3
abochornada,5
abochornado,4
abofeteada,3
abofeteado,10
abofetéame,3
abofetean,2
abofeteando,2
abofetear,33
abofeteara,2
abofeteará,3
abofetearan,2
abofetearé,2
abofetearme,14
abofetearte,14
abofeteas,4
abofeteaste,6
abofetee,11
abofeteó,29
aboga,8
abogaba,2
abogacía,78
abogada,688
abogadas,19
abogado,4988
abogados,1344
abogan,2
abogar,9
abogo,4
abogó,3
abolicionista,4
abolicionistas,2
abolida,6
abolido,5
abolieron,3
abolió,2
abolir,25
abollado,15
abolladura,40
abolladuras,16
abollar,6
abollarla,2
abolle,4
abollé,2
abolló,10
abollón,3
abomban,2
abominable,49
abominablemente,3
abominables,13
abominación,65
abominaciones,17
abonada,3
abonado,11
abonar,18
abonará,2
abonarse,2
abono,85
abonos,7
aborda,14
abordaban,4
abordado,16
abordados,18
abordaje,30
abordamos,12
abordan,4
abordando,75
abordándola,2
abordar,178
abordara,2
abordará,7
abordáramos,2
abordarán,6
abordaré,2
abordaría,2
abordarían,3
abordarlo,13
abordarlos,5
abordarme,2
abordarnos,2
abordaron,19
abordarte,5
abordas,4
abordaste,6
aborde,3
abordé,6
abordemos,7
aborden,21
abordo,120
abordó,48
aborigen,29
aborígenes,39
aborrece,17
aborrecedores,2
aborrecen,9
aborrecer,3
aborrecerme,3
aborreces,3
aborrecible,9
aborrecido,3
aborrecidos,2
aborrezco,25
aborta,41
abortada,7
abortado,32
abortados,3
abórtalo,2
abortamos,10
abortando,12
abortar,140
abortara,9
abortarán,2
abortaremos,5
abortaría,2
abortarla,2
abortarlo,6
aborte,21
aborté,10
abortemos,5
aborten,59
abórtenlo,4
abortistas,3
abortiva,4
abortivas,2
aborto,324
abortó,8
abortos,65
abotinados,2
abotonada,4
abotonado,2
abotonados,5
abotonando,2
abotonarla,3
abotonarlo,2
abotonarme,2
abotónate,5
abotónese,3
abotono,2
abovedado,2
abovedados,3
abra,1099
abracadabra,45
abrace,33
abracé,39
abrácelo,2
abracémonos,2
abracemos,3
abracen,25
abraces,28
abracito,3
abraham,221
ábrala,10
ábralo,7
ábrame,3
abrámonos,2
abramos,81
abrámoslo,10
abran,1161
ábranla,11
ábranlas,4
ábranlo,9
ábranlos,2
ábranme,3
ábranse,3
abras,348
abrasador,16
abrasadora,4
abrasados,3
abrasar,3
abrasará,3
abrasión,13
abrasiones,22
abrasiva,3
abrasivas,2
abrasivo,7
abrasivos,6
abraza,125
abrazaba,20
abrazaban,6
abrazabas,7
abrazable,5
abrazada,11
abrazadas,4
abrazadera,20
abrazaderas,8
abrazado,26
abrazados,26
abrázala,21
abrázalo,10
abrázame,168
abrazamos,37
abrazan,44
abrazando,67
abrazándola,5
abrazándolo,3
abrazándome,5
abrazándonos,4
abrazándose,8
abrazar,151
abrazara,12
abrazaran,2
abrazarás,5
abrazaré,15
abrazaremos,7
abrazaría,8
abrazarías,3
abrazarla,21
abrazarlas,2
abrazarlo,37
abrazarlos,15
abrazarme,60
abrazarnos,22
abrazaron,6
abrazarse,24
abrazarte,90
abrazas,37
abrazaste,31
abrázate,3
abrazémosnos,2
abrazo,840
abrazó,68
abrazos,192
abre,17
abrecartas,15
abrefácil,2
ábrela,78
ábrelas,4
abrelatas,70
ábrele,6
ábrelo,109
ábrelos,21
ábreme,22
ábremelo,3
abren,240
ábrenos,2
abres,304
ábrete,25
abrevadero,12
abreviación,12
abreviando,4
abreviar,19
abreviatura,20
abreviaturas,2
abrí,438
abría,93
abríamos,4
abrían,15
abrías,20
abrid,24
abridor,20
abridores,5
abriendo,287
abriéndola,2
abriéndole,4
abriéndolo,4
abriéndome,7
abriéndonos,5
abriéndose,52
abriéndote,3
abriera,89
abrieran,24
abrieras,48
abrieron,228
abriese,5
abriésemos,2
abriga,10
abrigada,40
abrigado,30
abrigados,6
abrigamos,4
abrigan,2
abrigar,8
abrigarme,2
abrigarse,3
abrigarte,6
abrigas,2
abrígate,19
abrigo,1054
abrigos,151
abrigue,7
abríguense,4
abril,593
abrillantado,2
abrillantador,3
abrillantan,2
abrillantar,2
abrillantas,2
abrimos,283
abrió,793
abrir,2673
abrirá,176
abrirán,78
abrirás,37
abriré,240
abriremos,106
abriría,37
abriríamos,2
abrirían,4
abrirla,224
abrirlas,20
abrirle,90
abrirles,12
abrirlo,234
abrirlos,48
abrirme,95
abrírmelos,2
abrirnos,34
abrirse,148
abrirte,94
abriste,170
abro,358
abrochaba,3
abrochada,3
abrochados,10
abróchame,8
abrochan,3
abrochar,17
abrocharé,4
abrocharlos,2
abrocharse,8
abrocharte,5
abrochas,2
abrochaste,3
abróchate,60
abroche,4
abrochemos,3
abrochen,16
abróchense,37
abroches,3
abróchese,14
abruma,32
abrumaba,2
abrumada,69
abrumadas,4
abrumado,84
abrumador,88
abrumadora,64
abrumadoras,16
abrumadores,7
abrumados,14
abruman,11
