bigram,frequency,probability
aa,1382366,0.041587095745903094
es,578908,0.017415867016455314
an,527498,0.015869248687954123
ar,494910,0.014888871366631485
er,492622,0.014820039179593736
en,447984,0.013477149684405325
ra,407073,0.01224638324913374
in,376297,0.011320518131881207
on,356785,0.010733519166199136
re,348494,0.010484092740180787
al,345589,0.010396698726481196
te,332968,0.010017008589853816
as,328189,0.009873237164218587
ri,324224,0.00975395411281794
la,317004,0.009536747648476788
os,311145,0.009360485505183879
ta,306902,0.009232839102386163
or,290142,0.008728631298735513
co,286213,0.00861043127125679
ro,280558,0.00844030626352144
ca,273043,0.00821422501982009
ma,272316,0.00819235395339682
ss,268535,0.00807860635759711
nt,263124,0.007915821845332571
na,258577,0.007779029907194176
ti,258519,0.0077772850353199675
le,257382,0.00774307952978591
de,257184,0.007737122898215336
st,255101,0.0076744579307329785
ic,254948,0.007669855079064807
li,243524,0.007326175487841357
ki,243051,0.007311945756867206
is,243041,0.007311644916888895
el,234044,0.007040979188401728
ik,224634,0.006757888768810283
ad,223624,0.006727503931000787
ia,223252,0.006716312683807586
do,220034,0.0066195023787868346
at,216496,0.006513065194460104
wi,215271,0.006476212297116903
to,214814,0.006462463910108052
ch,208284,0.006266015404270417
ne,206813,0.006221761843460745
se,204810,0.0061615035958048825
ll,204696,0.006158074020052128
ci,199803,0.006010873018664142
lo,197761,0.005949441495092864
ac,197422,0.005939243019828093
ni,191363,0.005756964076968946
da,187518,0.0056412911053080415
nd,184740,0.005557717759333012
am,184512,0.0055508586078275015
sw,184356,0.005546165504165836
me,182690,0.005496045563779083
ol,181961,0.00547411432936015
di,178484,0.005369512268901122
si,178433,0.005367977985011731
sa,177103,0.0053279662678962555
il,176198,0.005300740249859034
io,173652,0.005224146391380838
no,169609,0.00510251678814936
it,169470,0.005098335112450825
tr,163944,0.0049320909404357
ha,152989,0.004602520744195074
ie,151408,0.004554957943623972
mi,147904,0.004449543615223502
pa,147457,0.004436096068192962
et,146554,0.0044089302181514025
om,144064,0.004334021063551754
ba,142715,0.0042934377504774855
mo,140259,0.004219551451804097
pe,136732,0.00411344519145351
us,136096,0.004094311768832876
id,134582,0.0040487645961164625
ur,130269,0.003919012313470564
ec,126054,0.0037922082626121218
ab,120845,0.003635500717909482
ng,120502,0.003625181906653386
oo,119668,0.0036000918524621782
ue,114545,0.0034459715315730203
ga,114098,0.003432523984542481
he,113345,0.003409870734175599
po,113055,0.0034011463748045557
vi,110834,0.003334329815621495
sc,109953,0.0033078258135322215
hi,108971,0.0032782833276619986
ce,108280,0.00325749528516065
ns,107079,0.0032213644037653974
un,106204,0.003195040905663111
em,105235,0.0031658895117646934
so,103409,0.0031109561317249506
nc,102529,0.0030844822136335084
rt,102021,0.0030691995427352668
ir,100827,0.0030332792493248323
ed,100072,0.0030105658309622883
ot,99915,0.003005842643302792
be,99693,0.0029991639957842693
im,97893,0.002945012799688137
ge,97140,0.0029223595493212554
oc,96605,0.0029062646104815715
va,96280,0.002896487311186437
ve,93849,0.002823353112458827
pr,93245,0.002805182377768792
ul,92221,0.002774376363989659
rr,90593,0.002725399615520491
ag,88240,0.002654611968623714
cu,88184,0.0026529272647451674
ea,87830,0.0026422775295129285
ho,87263,0.002625219902742647
qu,86777,0.0026105990797966913
op,82607,0.002485148808840652
su,81739,0.002459035898723184
gu,80275,0.00241499292589833
ua,80139,0.0024109015021932887
ka,80060,0.0024085248663646254
ap,80041,0.0024079532704058327
za,79430,0.0023895719477309793
pi,79355,0.0023873156478936403
bi,79354,0.0023872855638958092
tu,79227,0.002383464896171249
ae,78975,0.00237588372871779
au,78848,0.0023720630609932298
ai,78718,0.0023681521412751757
ee,77281,0.0023249214363917636
go,76714,0.002307863809621482
ru,75537,0.0022724549441741782
ui,75322,0.0022659868846404735
ig,75192,0.0022620759649224194
od,74398,0.002238189270644459
bo,74265,0.0022341880989329116
lu,69671,0.00209598221289645
th,69383,0.002087318021521069
fi,68925,0.002073539550514387
sp,68388,0.0020573844436790408
eg,68235,0.0020527815920108696
sh,67820,0.0020402967329109277
ei,67803,0.0020397853049477976
rs,67671,0.0020358142172340814
br,67148,0.002020080286368372
um,66993,0.0020154172667045385
gr,66176,0.001990838640476461
gi,63942,0.0019236309893215947
ón,63741,0.0019175841057575266
ut,63117,0.0018988116911108676
ou,61828,0.0018600334179064708
hu,61770,0.0018582885460322622
rd,59845,0.001800376850207232
ov,58190,0.0017505878337966219
og,57856,0.0017405397785210063
av,57385,0.0017263702155425184
mp,56071,0.0016868398423923422
ja,56055,0.0016863584984270431
ex,55965,0.0016836509386222364
iv,54940,0.0016528148408452726
rm,54700,0.0016455946813657882
rc,54609,0.0016428570375631505
fe,54479,0.0016389461178450964
uc,54368,0.001635606794085835
ct,54023,0.0016252278148340764
ep,53984,0.0016240545389186601
cr,53881,0.0016209558871420483
rg,53449,0.0016079596000789765
iz,53064,0.0015963772609139705
ió,52544,0.0015807335820417546
ob,52494,0.0015792293821501953
mb,52094,0.0015671957830177216
ay,52084,0.0015668949430394097
ip,51749,0.001556816803765963
ko,51627,0.0015531465560305584
ke,51233,0.0015412934608850719
dr,50810,0.0015285679298024809
bl,50741,0.001526492133952129
mu,50352,0.0015147894587957983
oe,50209,0.0015104874471059389
ya,49971,0.0015033274556221171
fo,49784,0.0014977017480276855
fa,49576,0.0014914442764787992
ak,49317,0.0014836525210405224
ev,49157,0.001478839081387533
jo,47416,0.0014264628411634409
bu,46996,0.0014138275620743433
rn,46835,0.0014089840384235227
eo,46512,0.00139926690712405
ib,46318,0.0013934306115448004
nn,44438,0.0013368726956221736
rl,43791,0.0013174083490253973
tt,43552,0.0013102182735437442
fr,42260,0.001271349748345854
pl,42132,0.0012674989966234623
pu,41700,0.0012545027095603907
ef,41445,0.0012468312901134386
ud,41077,0.0012357603789115627
vo,41041,0.0012346773549896401
du,40461,0.0012172286362475532
ía,40297,0.0012122948606032389
lt,40250,0.0012108809127051733
sk,39902,0.001200411681459921
eu,39405,0.0011854599345378224
ts,39225,0.0011800448149282092
ah,39064,0.0011752012912773886
az,38714,0.001164671892036474
ub,38307,0.001152427704919182
sm,38108,0.001146440989350776
eb,38007,0.0011434025055698266
nu,37925,0.0011409356177476695
ck,37777,0.0011364831860686542
wa,37734,0.0011351895741619133
cl,37657,0.001132873106328912
if,37648,0.0011326023503484314
af,37471,0.0011272774827323117
ld,35410,0.0010652743632022406
án,34219,0.0010294443217853
ye,33299,0.0010017670437806102
oi,33162,0.000997645536077738
je,33119,0.000996351924170997
ph,32945,0.000991117308548371
oa,32628,0.0009815806812358855
aj,32210,0.0009690055701424504
ez,32150,0.0009672005302725794
gh,31415,0.0009450887918666588
of,31113,0.0009360034245216411
ze,30856,0.0009282718370790267
fu,28393,0.0008541749504208195
cc,28158,0.0008471052109304912
up,27997,0.0008422616872796704
rí,27616,0.0008307996841059892
ju,27440,0.0008255049004877007
ey,27130,0.0008161788611600336
ry,27033,0.0008132607133704086
rb,27013,0.000812659033413785
mm,26831,0.0008071837458085094
gl,26751,0.0008047770259820146
ku,26516,0.0007977072864916863
nm,26512,0.0007975869505003616
ds,26334,0.0007922319988864108
lc,26298,0.0007911489749644881
we,26231,0.0007891333471097987
lm,26145,0.0007865461232963169
ii,25905,0.0007793259638168326
zo,25534,0.0007681648006214632
ls,25438,0.0007652767368296695
zi,24817,0.0007465945741765039
nf,24656,0.0007417510505256833
iu,24241,0.0007292661914257417
nk,24110,0.0007253251877098565
sl,23850,0.0007175033482737486
xi,23572,0.0007091399968766793
ug,23368,0.0007030028613191177
pt,23219,0.0006985203456422712
ok,22846,0.0006872990144512394
ly,22832,0.0006868778384816029
tl,22827,0.0006867274184924469
yo,22825,0.0006866672504967846
dd,22702,0.0006829669187635489
ny,22607,0.0006801089389695863
ow,22437,0.000674994659338285
ej,21729,0.0006536951888738065
oy,21650,0.0006513185530451429
