sentence,ID,clean sentence,parse,start_index,end_index,phrase,total_native,total_non_native,native_complex,non_native_complex,complex_binary,complex_probabilistic,split,count,original phrase,syllables,length
Toronto traded Stewart to Chicago early in the 1947-48 season in a deal that brought Max Bentley to the Leafs .,3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,Toronto traded Stewart to Chicago early in the 1947-48 season in a deal that brought Max Bentley to the Leafs .,,8,14,traded,10,10,1,3,1,0.2,['traded'],1,traded,2,6
Toronto traded Stewart to Chicago early in the 1947-48 season in a deal that brought Max Bentley to the Leafs .,3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,Toronto traded Stewart to Chicago early in the 1947-48 season in a deal that brought Max Bentley to the Leafs .,,0,7,toronto,10,10,0,0,0,0.0,['Toronto'],1,Toronto,3,7
Toronto traded Stewart to Chicago early in the 1947-48 season in a deal that brought Max Bentley to the Leafs .,3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,Toronto traded Stewart to Chicago early in the 1947-48 season in a deal that brought Max Bentley to the Leafs .,,55,61,season,10,10,0,1,1,0.05,['season'],1,season,2,6
Toronto traded Stewart to Chicago early in the 1947-48 season in a deal that brought Max Bentley to the Leafs .,3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,Toronto traded Stewart to Chicago early in the 1947-48 season in a deal that brought Max Bentley to the Leafs .,,15,22,stewart,10,10,0,0,0,0.0,['Stewart'],1,Stewart,2,7
Toronto traded Stewart to Chicago early in the 1947-48 season in a deal that brought Max Bentley to the Leafs .,3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,Toronto traded Stewart to Chicago early in the 1947-48 season in a deal that brought Max Bentley to the Leafs .,,26,33,chicago,10,10,0,0,0,0.0,['Chicago'],1,Chicago,3,7
Toronto traded Stewart to Chicago early in the 1947-48 season in a deal that brought Max Bentley to the Leafs .,3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,Toronto traded Stewart to Chicago early in the 1947-48 season in a deal that brought Max Bentley to the Leafs .,,34,39,early,10,10,0,0,0,0.0,['early'],1,early,2,5
Toronto traded Stewart to Chicago early in the 1947-48 season in a deal that brought Max Bentley to the Leafs .,3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,Toronto traded Stewart to Chicago early in the 1947-48 season in a deal that brought Max Bentley to the Leafs .,,77,84,brought,10,10,0,2,1,0.1,['brought'],1,brought,1,7
Toronto traded Stewart to Chicago early in the 1947-48 season in a deal that brought Max Bentley to the Leafs .,3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,Toronto traded Stewart to Chicago early in the 1947-48 season in a deal that brought Max Bentley to the Leafs .,,67,71,deal,10,10,0,0,0,0.0,['deal'],1,deal,1,4
Toronto traded Stewart to Chicago early in the 1947-48 season in a deal that brought Max Bentley to the Leafs .,3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,Toronto traded Stewart to Chicago early in the 1947-48 season in a deal that brought Max Bentley to the Leafs .,,89,96,bentley,10,10,0,1,1,0.05,['Bentley'],1,Bentley,2,7
Toronto traded Stewart to Chicago early in the 1947-48 season in a deal that brought Max Bentley to the Leafs .,3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,Toronto traded Stewart to Chicago early in the 1947-48 season in a deal that brought Max Bentley to the Leafs .,,85,88,max,10,10,0,0,0,0.0,['Max'],1,Max,1,3
