ID,sentence,start_index,end_index,word,total_native,total_non_native,native_complex,non_native_complex,complex_binary,complex_probabilistic,split,count,synonyms,wikipedia_freq,learners_freq,subtitles_freq,news_freq,syllables,length,vowels,pos
34R0BODSP100FBH34VI0BMDX1BME56,"Thomas Michael Fletcher (17 de julio de 1985, Harrow, Londres), conocido comúnmente como Tom Fletcher, es un músico y compositor británico co-fundador de la banda británica McFly, completada por Danny Jones, Dougie Poynter y Harry Judd.",0,6,thomas,10,0,0,0,0,0.0,['Thomas'],1,2,29342,18,0,280,2,6,2,4
34R0BODSP100FBH34VI0BMDX1BME56,"Thomas Michael Fletcher (17 de julio de 1985, Harrow, Londres), conocido comúnmente como Tom Fletcher, es un músico y compositor británico co-fundador de la banda británica McFly, completada por Danny Jones, Dougie Poynter y Harry Judd.",46,52,harrow,10,0,1,0,1,0.1,['Harrow'],1,0,318,0,0,0,2,6,2,7
34R0BODSP100FBH34VI0BMDX1BME56,"Thomas Michael Fletcher (17 de julio de 1985, Harrow, Londres), conocido comúnmente como Tom Fletcher, es un músico y compositor británico co-fundador de la banda británica McFly, completada por Danny Jones, Dougie Poynter y Harry Judd.",7,14,michael,10,0,0,0,0,0.0,['Michael'],1,0,36826,48,0,495,3,7,3,6
34R0BODSP100FBH34VI0BMDX1BME56,"Thomas Michael Fletcher (17 de julio de 1985, Harrow, Londres), conocido comúnmente como Tom Fletcher, es un músico y compositor británico co-fundador de la banda británica McFly, completada por Danny Jones, Dougie Poynter y Harry Judd.",15,23,fletcher,10,0,0,0,0,0.0,['Fletcher'],1,0,1914,0,0,10,2,8,2,6
34R0BODSP100FBH34VI0BMDX1BME56,"Thomas Michael Fletcher (17 de julio de 1985, Harrow, Londres), conocido comúnmente como Tom Fletcher, es un músico y compositor británico co-fundador de la banda británica McFly, completada por Danny Jones, Dougie Poynter y Harry Judd.",73,83,comúnmente,10,0,3,0,1,0.3,['comúnmente'],1,0,17793,16,52,62,4,10,4,1
34R0BODSP100FBH34VI0BMDX1BME56,"Thomas Michael Fletcher (17 de julio de 1985, Harrow, Londres), conocido comúnmente como Tom Fletcher, es un músico y compositor británico co-fundador de la banda británica McFly, completada por Danny Jones, Dougie Poynter y Harry Judd.",54,61,londres,10,0,0,0,0,0.0,['Londres'],1,0,61143,171,1832,729,2,7,2,4
34R0BODSP100FBH34VI0BMDX1BME56,"Thomas Michael Fletcher (17 de julio de 1985, Harrow, Londres), conocido comúnmente como Tom Fletcher, es un músico y compositor británico co-fundador de la banda británica McFly, completada por Danny Jones, Dougie Poynter y Harry Judd.",64,72,conocido,10,0,0,0,0,0.0,['conocido'],1,1,166404,306,2912,1967,4,8,4,0
34R0BODSP100FBH34VI0BMDX1BME56,"Thomas Michael Fletcher (17 de julio de 1985, Harrow, Londres), conocido comúnmente como Tom Fletcher, es un músico y compositor británico co-fundador de la banda británica McFly, completada por Danny Jones, Dougie Poynter y Harry Judd.",89,92,tom,10,0,0,0,0,0.0,['Tom'],1,0,18257,75,0,197,1,3,1,6
34R0BODSP100FBH34VI0BMDX1BME56,"Thomas Michael Fletcher (17 de julio de 1985, Harrow, Londres), conocido comúnmente como Tom Fletcher, es un músico y compositor británico co-fundador de la banda británica McFly, completada por Danny Jones, Dougie Poynter y Harry Judd.",118,128,compositor,10,0,4,0,1,0.4,['compositor'],1,1,36748,8,139,193,4,10,4,4
34R0BODSP100FBH34VI0BMDX1BME56,"Thomas Michael Fletcher (17 de julio de 1985, Harrow, Londres), conocido comúnmente como Tom Fletcher, es un músico y compositor británico co-fundador de la banda británica McFly, completada por Danny Jones, Dougie Poynter y Harry Judd.",109,115,músico,10,0,0,0,0,0.0,['músico'],1,2,26985,34,356,424,3,6,3,0
34R0BODSP100FBH34VI0BMDX1BME56,"Thomas Michael Fletcher (17 de julio de 1985, Harrow, Londres), conocido comúnmente como Tom Fletcher, es un músico y compositor británico co-fundador de la banda británica McFly, completada por Danny Jones, Dougie Poynter y Harry Judd.",129,138,británico,10,0,1,0,1,0.1,['británico'],1,3,49647,29,361,804,4,9,4,0
34R0BODSP100FBH34VI0BMDX1BME56,"Thomas Michael Fletcher (17 de julio de 1985, Harrow, Londres), conocido comúnmente como Tom Fletcher, es un músico y compositor británico co-fundador de la banda británica McFly, completada por Danny Jones, Dougie Poynter y Harry Judd.",139,150,co-fundador,10,0,4,0,1,0.4,['co-fundador'],1,0,0,0,0,5,4,11,4,6
34R0BODSP100FBH34VI0BMDX1BME56,"Thomas Michael Fletcher (17 de julio de 1985, Harrow, Londres), conocido comúnmente como Tom Fletcher, es un músico y compositor británico co-fundador de la banda británica McFly, completada por Danny Jones, Dougie Poynter y Harry Judd.",157,162,banda,10,0,1,0,1,0.1,['banda'],1,10,212795,181,2489,1367,2,5,2,6
34R0BODSP100FBH34VI0BMDX1BME56,"Thomas Michael Fletcher (17 de julio de 1985, Harrow, Londres), conocido comúnmente como Tom Fletcher, es un músico y compositor británico co-fundador de la banda británica McFly, completada por Danny Jones, Dougie Poynter y Harry Judd.",173,178,mcfly,10,0,1,0,1,0.1,['McFly'],1,0,480,0,0,5,1,5,0,7
